train_img,train_mask
train_img_0.tif,train_mask_0.tif
train_img_1.tif,train_mask_1.tif
train_img_2.tif,train_mask_2.tif
train_img_3.tif,train_mask_3.tif
train_img_4.tif,train_mask_4.tif
train_img_5.tif,train_mask_5.tif
train_img_6.tif,train_mask_6.tif
train_img_7.tif,train_mask_7.tif
train_img_8.tif,train_mask_8.tif
train_img_9.tif,train_mask_9.tif
train_img_10.tif,train_mask_10.tif
train_img_11.tif,train_mask_11.tif
train_img_12.tif,train_mask_12.tif
train_img_13.tif,train_mask_13.tif
train_img_14.tif,train_mask_14.tif
train_img_15.tif,train_mask_15.tif
train_img_16.tif,train_mask_16.tif
train_img_17.tif,train_mask_17.tif
train_img_18.tif,train_mask_18.tif
train_img_19.tif,train_mask_19.tif
train_img_20.tif,train_mask_20.tif
train_img_21.tif,train_mask_21.tif
train_img_22.tif,train_mask_22.tif
train_img_23.tif,train_mask_23.tif
train_img_24.tif,train_mask_24.tif
train_img_25.tif,train_mask_25.tif
train_img_26.tif,train_mask_26.tif
train_img_27.tif,train_mask_27.tif
train_img_28.tif,train_mask_28.tif
train_img_29.tif,train_mask_29.tif
train_img_30.tif,train_mask_30.tif
train_img_31.tif,train_mask_31.tif
train_img_32.tif,train_mask_32.tif
train_img_33.tif,train_mask_33.tif
train_img_34.tif,train_mask_34.tif
train_img_35.tif,train_mask_35.tif
train_img_36.tif,train_mask_36.tif
train_img_37.tif,train_mask_37.tif
train_img_38.tif,train_mask_38.tif
train_img_39.tif,train_mask_39.tif
train_img_40.tif,train_mask_40.tif
train_img_41.tif,train_mask_41.tif
train_img_42.tif,train_mask_42.tif
train_img_43.tif,train_mask_43.tif
train_img_44.tif,train_mask_44.tif
train_img_45.tif,train_mask_45.tif
train_img_46.tif,train_mask_46.tif
train_img_47.tif,train_mask_47.tif
train_img_48.tif,train_mask_48.tif
train_img_49.tif,train_mask_49.tif
train_img_50.tif,train_mask_50.tif
train_img_51.tif,train_mask_51.tif
train_img_52.tif,train_mask_52.tif
train_img_53.tif,train_mask_53.tif
train_img_54.tif,train_mask_54.tif
train_img_55.tif,train_mask_55.tif
train_img_56.tif,train_mask_56.tif
train_img_57.tif,train_mask_57.tif
train_img_58.tif,train_mask_58.tif
train_img_59.tif,train_mask_59.tif
train_img_60.tif,train_mask_60.tif
train_img_61.tif,train_mask_61.tif
train_img_62.tif,train_mask_62.tif
train_img_63.tif,train_mask_63.tif
train_img_64.tif,train_mask_64.tif
train_img_65.tif,train_mask_65.tif
train_img_66.tif,train_mask_66.tif
train_img_67.tif,train_mask_67.tif
train_img_68.tif,train_mask_68.tif
train_img_69.tif,train_mask_69.tif
train_img_70.tif,train_mask_70.tif
train_img_71.tif,train_mask_71.tif
train_img_72.tif,train_mask_72.tif
train_img_73.tif,train_mask_73.tif
train_img_74.tif,train_mask_74.tif
train_img_75.tif,train_mask_75.tif
train_img_76.tif,train_mask_76.tif
train_img_77.tif,train_mask_77.tif
train_img_78.tif,train_mask_78.tif
train_img_79.tif,train_mask_79.tif
train_img_80.tif,train_mask_80.tif
train_img_81.tif,train_mask_81.tif
train_img_82.tif,train_mask_82.tif
train_img_83.tif,train_mask_83.tif
train_img_84.tif,train_mask_84.tif
train_img_85.tif,train_mask_85.tif
train_img_86.tif,train_mask_86.tif
train_img_87.tif,train_mask_87.tif
train_img_88.tif,train_mask_88.tif
train_img_89.tif,train_mask_89.tif
train_img_90.tif,train_mask_90.tif
train_img_91.tif,train_mask_91.tif
train_img_92.tif,train_mask_92.tif
train_img_93.tif,train_mask_93.tif
train_img_94.tif,train_mask_94.tif
train_img_95.tif,train_mask_95.tif
train_img_96.tif,train_mask_96.tif
train_img_97.tif,train_mask_97.tif
train_img_98.tif,train_mask_98.tif
train_img_99.tif,train_mask_99.tif
train_img_100.tif,train_mask_100.tif
train_img_101.tif,train_mask_101.tif
train_img_102.tif,train_mask_102.tif
train_img_103.tif,train_mask_103.tif
train_img_104.tif,train_mask_104.tif
train_img_105.tif,train_mask_105.tif
train_img_106.tif,train_mask_106.tif
train_img_107.tif,train_mask_107.tif
train_img_108.tif,train_mask_108.tif
train_img_109.tif,train_mask_109.tif
train_img_110.tif,train_mask_110.tif
train_img_111.tif,train_mask_111.tif
train_img_112.tif,train_mask_112.tif
train_img_113.tif,train_mask_113.tif
train_img_114.tif,train_mask_114.tif
train_img_115.tif,train_mask_115.tif
train_img_116.tif,train_mask_116.tif
train_img_117.tif,train_mask_117.tif
train_img_118.tif,train_mask_118.tif
train_img_119.tif,train_mask_119.tif
train_img_120.tif,train_mask_120.tif
train_img_121.tif,train_mask_121.tif
train_img_122.tif,train_mask_122.tif
train_img_123.tif,train_mask_123.tif
train_img_124.tif,train_mask_124.tif
train_img_125.tif,train_mask_125.tif
train_img_126.tif,train_mask_126.tif
train_img_127.tif,train_mask_127.tif
train_img_128.tif,train_mask_128.tif
train_img_129.tif,train_mask_129.tif
train_img_130.tif,train_mask_130.tif
train_img_131.tif,train_mask_131.tif
train_img_132.tif,train_mask_132.tif
train_img_133.tif,train_mask_133.tif
train_img_134.tif,train_mask_134.tif
train_img_135.tif,train_mask_135.tif
train_img_136.tif,train_mask_136.tif
train_img_137.tif,train_mask_137.tif
train_img_138.tif,train_mask_138.tif
train_img_139.tif,train_mask_139.tif
train_img_140.tif,train_mask_140.tif
train_img_141.tif,train_mask_141.tif
train_img_142.tif,train_mask_142.tif
train_img_143.tif,train_mask_143.tif
train_img_144.tif,train_mask_144.tif
train_img_145.tif,train_mask_145.tif
train_img_146.tif,train_mask_146.tif
train_img_147.tif,train_mask_147.tif
train_img_148.tif,train_mask_148.tif
train_img_149.tif,train_mask_149.tif
train_img_150.tif,train_mask_150.tif
train_img_151.tif,train_mask_151.tif
train_img_152.tif,train_mask_152.tif
train_img_153.tif,train_mask_153.tif
train_img_154.tif,train_mask_154.tif
train_img_155.tif,train_mask_155.tif
train_img_156.tif,train_mask_156.tif
train_img_157.tif,train_mask_157.tif
train_img_158.tif,train_mask_158.tif
train_img_159.tif,train_mask_159.tif
train_img_160.tif,train_mask_160.tif
train_img_161.tif,train_mask_161.tif
train_img_162.tif,train_mask_162.tif
train_img_163.tif,train_mask_163.tif
train_img_164.tif,train_mask_164.tif
train_img_165.tif,train_mask_165.tif
train_img_166.tif,train_mask_166.tif
train_img_167.tif,train_mask_167.tif
train_img_168.tif,train_mask_168.tif
train_img_169.tif,train_mask_169.tif
train_img_170.tif,train_mask_170.tif
train_img_171.tif,train_mask_171.tif
train_img_172.tif,train_mask_172.tif
train_img_173.tif,train_mask_173.tif
train_img_174.tif,train_mask_174.tif
train_img_175.tif,train_mask_175.tif
train_img_176.tif,train_mask_176.tif
train_img_177.tif,train_mask_177.tif
train_img_178.tif,train_mask_178.tif
train_img_179.tif,train_mask_179.tif
train_img_180.tif,train_mask_180.tif
train_img_181.tif,train_mask_181.tif
train_img_182.tif,train_mask_182.tif
train_img_183.tif,train_mask_183.tif
train_img_184.tif,train_mask_184.tif
train_img_185.tif,train_mask_185.tif
train_img_186.tif,train_mask_186.tif
train_img_187.tif,train_mask_187.tif
train_img_188.tif,train_mask_188.tif
train_img_189.tif,train_mask_189.tif
train_img_190.tif,train_mask_190.tif
train_img_191.tif,train_mask_191.tif
train_img_192.tif,train_mask_192.tif
train_img_193.tif,train_mask_193.tif
train_img_194.tif,train_mask_194.tif
train_img_195.tif,train_mask_195.tif
train_img_196.tif,train_mask_196.tif
train_img_197.tif,train_mask_197.tif
train_img_198.tif,train_mask_198.tif
train_img_199.tif,train_mask_199.tif
train_img_200.tif,train_mask_200.tif
train_img_201.tif,train_mask_201.tif
train_img_202.tif,train_mask_202.tif
train_img_203.tif,train_mask_203.tif
train_img_204.tif,train_mask_204.tif
train_img_205.tif,train_mask_205.tif
train_img_206.tif,train_mask_206.tif
train_img_207.tif,train_mask_207.tif
train_img_208.tif,train_mask_208.tif
train_img_209.tif,train_mask_209.tif
train_img_210.tif,train_mask_210.tif
train_img_211.tif,train_mask_211.tif
train_img_212.tif,train_mask_212.tif
train_img_213.tif,train_mask_213.tif
train_img_214.tif,train_mask_214.tif
train_img_215.tif,train_mask_215.tif
train_img_216.tif,train_mask_216.tif
train_img_217.tif,train_mask_217.tif
train_img_218.tif,train_mask_218.tif
train_img_219.tif,train_mask_219.tif
train_img_220.tif,train_mask_220.tif
train_img_221.tif,train_mask_221.tif
train_img_222.tif,train_mask_222.tif
train_img_223.tif,train_mask_223.tif
train_img_224.tif,train_mask_224.tif
train_img_225.tif,train_mask_225.tif
train_img_226.tif,train_mask_226.tif
train_img_227.tif,train_mask_227.tif
train_img_228.tif,train_mask_228.tif
train_img_229.tif,train_mask_229.tif
train_img_230.tif,train_mask_230.tif
train_img_231.tif,train_mask_231.tif
train_img_232.tif,train_mask_232.tif
train_img_233.tif,train_mask_233.tif
train_img_234.tif,train_mask_234.tif
train_img_235.tif,train_mask_235.tif
train_img_236.tif,train_mask_236.tif
train_img_237.tif,train_mask_237.tif
train_img_238.tif,train_mask_238.tif
train_img_239.tif,train_mask_239.tif
train_img_240.tif,train_mask_240.tif
train_img_241.tif,train_mask_241.tif
train_img_242.tif,train_mask_242.tif
train_img_243.tif,train_mask_243.tif
train_img_244.tif,train_mask_244.tif
train_img_245.tif,train_mask_245.tif
train_img_246.tif,train_mask_246.tif
train_img_247.tif,train_mask_247.tif
train_img_248.tif,train_mask_248.tif
train_img_249.tif,train_mask_249.tif
train_img_250.tif,train_mask_250.tif
train_img_251.tif,train_mask_251.tif
train_img_252.tif,train_mask_252.tif
train_img_253.tif,train_mask_253.tif
train_img_254.tif,train_mask_254.tif
train_img_255.tif,train_mask_255.tif
train_img_256.tif,train_mask_256.tif
train_img_257.tif,train_mask_257.tif
train_img_258.tif,train_mask_258.tif
train_img_259.tif,train_mask_259.tif
train_img_260.tif,train_mask_260.tif
train_img_261.tif,train_mask_261.tif
train_img_262.tif,train_mask_262.tif
train_img_263.tif,train_mask_263.tif
train_img_264.tif,train_mask_264.tif
train_img_265.tif,train_mask_265.tif
train_img_266.tif,train_mask_266.tif
train_img_267.tif,train_mask_267.tif
train_img_268.tif,train_mask_268.tif
train_img_269.tif,train_mask_269.tif
train_img_270.tif,train_mask_270.tif
train_img_271.tif,train_mask_271.tif
train_img_272.tif,train_mask_272.tif
train_img_273.tif,train_mask_273.tif
train_img_274.tif,train_mask_274.tif
train_img_275.tif,train_mask_275.tif
train_img_276.tif,train_mask_276.tif
train_img_277.tif,train_mask_277.tif
train_img_278.tif,train_mask_278.tif
train_img_279.tif,train_mask_279.tif
train_img_280.tif,train_mask_280.tif
train_img_281.tif,train_mask_281.tif
train_img_282.tif,train_mask_282.tif
train_img_283.tif,train_mask_283.tif
train_img_284.tif,train_mask_284.tif
train_img_285.tif,train_mask_285.tif
train_img_286.tif,train_mask_286.tif
train_img_287.tif,train_mask_287.tif
train_img_288.tif,train_mask_288.tif
train_img_289.tif,train_mask_289.tif
train_img_290.tif,train_mask_290.tif
train_img_291.tif,train_mask_291.tif
train_img_292.tif,train_mask_292.tif
train_img_293.tif,train_mask_293.tif
train_img_294.tif,train_mask_294.tif
train_img_295.tif,train_mask_295.tif
train_img_296.tif,train_mask_296.tif
train_img_297.tif,train_mask_297.tif
train_img_298.tif,train_mask_298.tif
train_img_299.tif,train_mask_299.tif
train_img_300.tif,train_mask_300.tif
train_img_301.tif,train_mask_301.tif
train_img_302.tif,train_mask_302.tif
train_img_303.tif,train_mask_303.tif
train_img_304.tif,train_mask_304.tif
train_img_305.tif,train_mask_305.tif
train_img_306.tif,train_mask_306.tif
train_img_307.tif,train_mask_307.tif
train_img_308.tif,train_mask_308.tif
train_img_309.tif,train_mask_309.tif
train_img_310.tif,train_mask_310.tif
train_img_311.tif,train_mask_311.tif
train_img_312.tif,train_mask_312.tif
train_img_313.tif,train_mask_313.tif
train_img_314.tif,train_mask_314.tif
train_img_315.tif,train_mask_315.tif
train_img_316.tif,train_mask_316.tif
train_img_317.tif,train_mask_317.tif
train_img_318.tif,train_mask_318.tif
train_img_319.tif,train_mask_319.tif
train_img_320.tif,train_mask_320.tif
train_img_321.tif,train_mask_321.tif
train_img_322.tif,train_mask_322.tif
train_img_323.tif,train_mask_323.tif
train_img_324.tif,train_mask_324.tif
train_img_325.tif,train_mask_325.tif
train_img_326.tif,train_mask_326.tif
train_img_327.tif,train_mask_327.tif
train_img_328.tif,train_mask_328.tif
train_img_329.tif,train_mask_329.tif
train_img_330.tif,train_mask_330.tif
train_img_331.tif,train_mask_331.tif
train_img_332.tif,train_mask_332.tif
train_img_333.tif,train_mask_333.tif
train_img_334.tif,train_mask_334.tif
train_img_335.tif,train_mask_335.tif
train_img_336.tif,train_mask_336.tif
train_img_337.tif,train_mask_337.tif
train_img_338.tif,train_mask_338.tif
train_img_339.tif,train_mask_339.tif
train_img_340.tif,train_mask_340.tif
train_img_341.tif,train_mask_341.tif
train_img_342.tif,train_mask_342.tif
train_img_343.tif,train_mask_343.tif
train_img_344.tif,train_mask_344.tif
train_img_345.tif,train_mask_345.tif
train_img_346.tif,train_mask_346.tif
train_img_347.tif,train_mask_347.tif
train_img_348.tif,train_mask_348.tif
train_img_349.tif,train_mask_349.tif
train_img_350.tif,train_mask_350.tif
train_img_351.tif,train_mask_351.tif
train_img_352.tif,train_mask_352.tif
train_img_353.tif,train_mask_353.tif
train_img_354.tif,train_mask_354.tif
train_img_355.tif,train_mask_355.tif
train_img_356.tif,train_mask_356.tif
train_img_357.tif,train_mask_357.tif
train_img_358.tif,train_mask_358.tif
train_img_359.tif,train_mask_359.tif
train_img_360.tif,train_mask_360.tif
train_img_361.tif,train_mask_361.tif
train_img_362.tif,train_mask_362.tif
train_img_363.tif,train_mask_363.tif
train_img_364.tif,train_mask_364.tif
train_img_365.tif,train_mask_365.tif
train_img_366.tif,train_mask_366.tif
train_img_367.tif,train_mask_367.tif
train_img_368.tif,train_mask_368.tif
train_img_369.tif,train_mask_369.tif
train_img_370.tif,train_mask_370.tif
train_img_371.tif,train_mask_371.tif
train_img_372.tif,train_mask_372.tif
train_img_373.tif,train_mask_373.tif
train_img_374.tif,train_mask_374.tif
train_img_375.tif,train_mask_375.tif
train_img_376.tif,train_mask_376.tif
train_img_377.tif,train_mask_377.tif
train_img_378.tif,train_mask_378.tif
train_img_379.tif,train_mask_379.tif
train_img_380.tif,train_mask_380.tif
train_img_381.tif,train_mask_381.tif
train_img_382.tif,train_mask_382.tif
train_img_383.tif,train_mask_383.tif
train_img_384.tif,train_mask_384.tif
